username,password,first_name,last_name,phone,email
sgjxr838,123456,§õ,¨Î¬Â,0921676268,sgjxr@gmail.com
geakq5701,123456,³¯,´f¦p,0988910936,geakq@icloud.com
oyldz6920,123456,±i,ª@´f,0912569780,oyldz@nkfust.edu.tw
yhwrj401,123456,´¿,«Û§g,0922530625,yhwrj@cc.ncu.edu.tw
edfen914,123456,¬x,®e©u,0922567660,edfen@cc.ncu.edu.tw
gonmz5222,123456,ªL,©y¤Ò,0955314774,gonmz@nkfust.edu.tw
vvfos131,123456,¶À,¶®¶²,0938422149,vvfos@cc.ncu.edu.tw
czfwx743,123456,³\,¤_´@,0911510242,czfwx@nkfust.edu.tw
ioeyn6689,123456,±i,¶®³ì,0953473287,ioeyn@cc.ncu.edu.tw
jwiay2313,123456,½²,¨qªâ,0930249116,jwiay@cc.ncu.edu.tw
apgrm804,123456,³¯,¨|¼w,0932067012,apgrm@nkfust.edu.tw
mlqrn2744,123456,±i,´ð¨¹,0913360407,mlqrn@nkfust.edu.tw
akujd4143,123456,§õ,¨q©g,0930355772,akujd@cc.ncu.edu.tw
jdzkm6403,123456,ªL,ªYª´,0956834165,jdzkm@cc.ncu.edu.tw
qwsxt174,123456,ªL,¤¯·s,0971626715,qwsxt@nkfust.edu.tw
eiilw660,123456,«¸,«³§Ê,0922756127,eiilw@nkfust.edu.tw
rmymk4398,123456,¤ý,¨Î¬Â,0929917045,rmymk@nkfust.edu.tw
lcnbs868,123456,±i,½å­i,0982581361,lcnbs@nkfust.edu.tw
puvuz131,123456,§õ,Îr´I,0953245616,puvuz@icloud.com
yuhwt585,123456,§õ,·R½¬,0937738096,yuhwt@nkfust.edu.tw
uvarj1087,123456,ÁÂ,¯¾½n,0970043410,uvarj@cc.ncu.edu.tw
xdgcz180,123456,±i,´f¬Â,0953545240,xdgcz@icloud.com
heksy193,123456,ªL,¶§¦¨,0924776529,heksy@icloud.com
nfhvf2986,123456,Ä¬,®a·ì,0916703165,nfhvf@icloud.com
tlqyo850,123456,´¿,¤Ñ³ß,0935638063,tlqyo@gmail.com
zlsna2555,123456,³¢,¯u¿·,0936686863,zlsna@icloud.com
hoykd3188,123456,½²,©ú³Õ,0934947731,hoykd@nkfust.edu.tw
cnrrk5701,123456,´¿,§»¹F,0926824710,cnrrk@cc.ncu.edu.tw
bhgbo6217,123456,¶À,à±²E,0918198793,bhgbo@nkfust.edu.tw
bybqy0,123456,¶À,¿·²±,0924412945,bybqy@gmail.com
oabwj5947,123456,§õ,ÀR©É,0923958850,oabwj@nkfust.edu.tw
xuetr7181,123456,ªô,ßN²[,0927217603,xuetr@gmail.com
zsjeo9561,123456,·¨,ÏÉªK,0958217788,zsjeo@cc.ncu.edu.tw
okkkm180,123456,»¯,¨Î¯Â,0927090929,okkkm@nkfust.edu.tw
fizhj131,123456,§õ,¦g¯u,0912108069,fizhj@cc.ncu.edu.tw
hytvr791,123456,¼B,¾åÖq,0910197330,hytvr@cc.ncu.edu.tw
djwnf660,123456,ªL,¶®¤ª,0934221932,djwnf@nkfust.edu.tw
ufepz1645,123456,³¢,§Ó¦t,0971512924,ufepz@gmail.com
ettbt1922,123456,¶À,­µ,0968956155,ettbt@nkfust.edu.tw
pfvct2744,123456,³¯,¿«©ø,0986687501,pfvct@gmail.com
saxnq680,123456,±i,§Ó­õ,0933805539,saxnq@cc.ncu.edu.tw
kumcn6920,123456,­Ù,ÀR©y,0921139580,kumcn@cc.ncu.edu.tw
urqnn8679,123456,°K,¤å³Ç,0918694805,urqnn@nkfust.edu.tw
luapj1922,123456,±Z,«Ø¦t,0971948944,luapj@gmail.com
mwaod6094,123456,«À,ª@¨Ó,0953916132,mwaod@cc.ncu.edu.tw
wbsqv2555,123456,¸­,»¨¦|,0925330346,wbsqv@nkfust.edu.tw
tdcgl350,123456,³¯,¦æ¦ë,0988242273,tdcgl@cc.ncu.edu.tw
negz0,123456,§E,©É§g,0953930915,negz@cc.ncu.edu.tw
btqz743,123456,¿à,«Ø·ì,0937270109,btqz@cc.ncu.edu.tw
trpi771,123456,§d,Ðw´¼,0982913187,trpi@gmail.com
cdic101,123456,§õ,®Ñ¤¦,0933267230,cdic@nkfust.edu.tw
dpmo680,123456,¿à,¤¨¬Õ,0923331178,dpmo@nkfust.edu.tw
ribd970,123456,³\,ÀR©É,0912414640,ribd@nkfust.edu.tw
wgep4596,123456,®},°ûµ×,0972938765,wgep@gmail.com
dwxr180,123456,¤ý,¨Ì¼ä,0934968415,dwxr@gmail.com
jrck3188,123456,¤ý,¦ËÂ§,0972084189,jrck@icloud.com
aeqj9356,123456,¼B,·¶°¶,0933069487,aeqj@cc.ncu.edu.tw
aycc5472,123456,®L,¨Øªâ,0918271936,aycc@nkfust.edu.tw
knad180,123456,³¯,´f´@,0952603823,knad@cc.ncu.edu.tw
lmqk1231,123456,³¢,´¼§µ,0971151098,lmqk@icloud.com
